split,style,balanced,mode,score,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count,first_layer_metrics,second_layer_metrics
"(4, 4)",side_rows,False,strong,22086.581380947155,278,22,{'G3': 22},156,122,"{'G2': 75, 'G3': 4, 'G5': 50, 'G4': 27}","{'G2': 25, 'G3': 4, 'G4': 13, 'G1': 80}",0.670214322288055,0.315,200.0,8,0,8,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 14875, 'max_high_standard_layer_area_cm2': 14875}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 39000, 'max_high_standard_layer_area_cm2': 39000}"
"(4, 4)",side_rows,False,area_first,19158.216159675852,281,19,{'G3': 19},105,176,"{'G2': 8, 'G3': 4, 'G4': 40, 'G5': 37, 'G1': 16}","{'G2': 92, 'G3': 7, 'G5': 13, 'G1': 64}",0.681186453075854,0.31875,150.0,11,0,11,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 19200, 'max_high_standard_layer_area_cm2': 19200}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 52500, 'max_high_standard_layer_area_cm2': 46075}"
"(4, 4)",side_rows,False,area_first,16140.936853036146,284,16,{'G3': 16},110,174,"{'G2': 29, 'G3': 4, 'G4': 40, 'G5': 37}","{'G2': 71, 'G3': 10, 'G5': 13, 'G1': 80}",0.692158583863653,0.3225,274.2857142857143,14,0,14,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 15750, 'max_high_standard_layer_area_cm2': 15750}","{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 55700, 'max_high_standard_layer_area_cm2': 36000}"
"(4, 4)",side_rows,False,area_first,22018.268799204783,278,22,{'G3': 22},141,137,"{'G2': 60, 'G3': 4, 'G5': 50, 'G4': 27}","{'G2': 40, 'G3': 4, 'G4': 13, 'G1': 80}",0.670214322288055,0.315,156.25,8,0,8,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 20125, 'max_high_standard_layer_area_cm2': 20125}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 48300, 'max_high_standard_layer_area_cm2': 48300}"
"(6, 8)",side_rows,False,moderate,16183.287411726596,284,16,{'G3': 16},98,186,"{'G2': 12, 'G3': 6, 'G4': 40, 'G5': 30, 'G1': 10}","{'G2': 88, 'G3': 8, 'G5': 20, 'G1': 70}",0.692158583863653,0.3225,182.85714285714286,14,0,14,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 24000, 'max_high_standard_layer_area_cm2': 24000}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 40800, 'max_high_standard_layer_area_cm2': 40800}"
"(6, 8)",side_rows,False,moderate,16159.735918759208,284,16,{'G3': 16},104,180,"{'G2': 28, 'G3': 6, 'G4': 40, 'G5': 30}","{'G2': 72, 'G3': 8, 'G5': 20, 'G1': 80}",0.692158583863653,0.3225,150.0,14,0,14,0,"{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 21000, 'max_high_standard_layer_area_cm2': 20000}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 38225, 'max_high_standard_layer_area_cm2': 38225}"
"(6, 8)",side_rows,False,moderate,16087.439964471196,284,16,{'G3': 16},122,162,"{'G2': 36, 'G3': 6, 'G5': 50, 'G4': 30}","{'G2': 64, 'G3': 8, 'G4': 10, 'G1': 80}",0.692158583863653,0.3225,156.25,14,0,14,0,"{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 21000, 'max_high_standard_layer_area_cm2': 14000}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 33600, 'max_high_standard_layer_area_cm2': 33600}"
"(6, 8)",side_rows,False,strong,16183.287411726596,284,16,{'G3': 16},98,186,"{'G2': 12, 'G3': 6, 'G4': 40, 'G5': 30, 'G1': 10}","{'G2': 88, 'G3': 8, 'G5': 20, 'G1': 70}",0.692158583863653,0.3225,182.85714285714286,14,0,14,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 24000, 'max_high_standard_layer_area_cm2': 24000}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 40800, 'max_high_standard_layer_area_cm2': 40800}"
"(6, 8)",side_rows,False,strong,16159.735918759208,284,16,{'G3': 16},104,180,"{'G2': 28, 'G3': 6, 'G4': 40, 'G5': 30}","{'G2': 72, 'G3': 8, 'G5': 20, 'G1': 80}",0.692158583863653,0.3225,150.0,14,0,14,0,"{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 21000, 'max_high_standard_layer_area_cm2': 20000}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 38225, 'max_high_standard_layer_area_cm2': 38225}"
"(6, 8)",side_rows,False,strong,16087.439964471196,284,16,{'G3': 16},122,162,"{'G2': 36, 'G3': 6, 'G5': 50, 'G4': 30}","{'G2': 64, 'G3': 8, 'G4': 10, 'G1': 80}",0.692158583863653,0.3225,156.25,14,0,14,0,"{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 21000, 'max_high_standard_layer_area_cm2': 14000}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 33600, 'max_high_standard_layer_area_cm2': 33600}"
"(6, 8)",side_rows,False,area_first,16182.217411726597,284,16,{'G3': 16},98,186,"{'G2': 12, 'G3': 6, 'G4': 40, 'G5': 30, 'G1': 10}","{'G2': 88, 'G3': 8, 'G5': 20, 'G1': 70}",0.692158583863653,0.3225,112.5,14,0,14,0,"{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 24000, 'max_high_standard_layer_area_cm2': 24000}","{'max_standard_layer_z': 205, 'max_standard_layer_area_cm2': 51500, 'max_high_standard_layer_area_cm2': 51500}"
"(6, 8)",side_rows,False,area_first,33146.17491509661,267,33,"{'G1': 17, 'G3': 16}",100,167,"{'G2': 24, 'G3': 6, 'G4': 40, 'G5': 30}","{'G2': 76, 'G3': 8, 'G5': 20, 'G1': 63}",0.6601826598534959,0.3055,137.14285714285714,14,0,14,0,"{'max_standard_layer_z': 215, 'max_standard_layer_area_cm2': 21000, 'max_high_standard_layer_area_cm2': 19250}","{'max_standard_layer_z': 200, 'max_standard_layer_area_cm2': 49300, 'max_high_standard_layer_area_cm2': 40250}"
"(6, 8)",side_rows,False,area_first,16087.419964471195,284,16,{'G3': 16},122,162,"{'G2': 36, 'G3': 6, 'G5': 50, 'G4': 30}","{'G2': 64, 'G3': 8, 'G4': 10, 'G1': 80}",0.692158583863653,0.3225,156.25,14,0,14,0,"{'max_standard_layer_z': 195, 'max_standard_layer_area_cm2': 21000, 'max_high_standard_layer_area_cm2': 14000}","{'max_standard_layer_z': 210, 'max_standard_layer_area_cm2': 43750, 'max_high_standard_layer_area_cm2': 33800}"
