split,style,balanced,score,placed,remaining,remaining_counts,first_count,second_count,first_goods,second_goods,avg_volume_utilization,avg_weight_utilization,max_support_pressure_kg_per_m2,g3_total,g3_floor,g3_platform,validation_error_count
"(6, 6)",front_rows,False,14201.77142439157,286,14,{'G3': 14},96,190,"{'G2': 20, 'G3': 6, 'G4': 40, 'G5': 30}","{'G2': 80, 'G3': 10, 'G5': 20, 'G1': 80}",0.6994733377221856,0.325,112.5,16,0,16,0
"(6, 6)",front_rows,False,13098.355538313635,287,13,{'G3': 13},122,165,"{'G2': 36, 'G3': 6, 'G5': 50, 'G4': 30}","{'G2': 64, 'G3': 11, 'G4': 10, 'G1': 80}",0.703130714651452,0.32625000000000004,156.25,17,0,17,0
"(6, 6)",side_rows,True,18000.0,282,18,{'G3': 18},141,141,"{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}",0.6848438300051203,0.32,125.0,12,0,12,0
"(6, 6)",side_rows,True,18000.0,282,18,{'G3': 18},141,141,"{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 6, 'G4': 20, 'G5': 25, 'G1': 40}",0.6848438300051203,0.32,112.5,12,0,12,0
"(6, 6)",side_rows,True,24000.0,276,24,"{'G1': 6, 'G3': 18}",138,138,"{'G2': 50, 'G3': 6, 'G5': 25, 'G4': 20, 'G1': 37}","{'G2': 50, 'G3': 6, 'G5': 25, 'G4': 20, 'G1': 37}",0.6735582097662414,0.314,156.25,12,0,12,0
"(6, 6)",side_rows,False,10212.788102030367,290,10,{'G3': 10},95,195,"{'G2': 12, 'G3': 6, 'G4': 40, 'G5': 30, 'G1': 7}","{'G2': 88, 'G3': 14, 'G5': 20, 'G1': 73}",0.7141028454392511,0.33,112.5,20,0,20,0
"(6, 6)",side_rows,False,16198.734375163276,284,16,{'G3': 16},96,188,"{'G2': 20, 'G3': 6, 'G4': 40, 'G5': 30}","{'G2': 80, 'G3': 8, 'G5': 20, 'G1': 80}",0.692158583863653,0.3225,112.5,14,0,14,0
"(6, 6)",side_rows,False,8103.44816138437,292,8,{'G3': 8},122,170,"{'G2': 36, 'G3': 6, 'G5': 50, 'G4': 30}","{'G2': 64, 'G3': 16, 'G4': 10, 'G1': 80}",0.7214175992977836,0.3325,156.25,22,0,22,0
"(6, 6)",checker,True,18000.0,282,18,"{'G3': 10, 'G4': 8}",141,141,"{'G2': 50, 'G3': 10, 'G4': 16, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 10, 'G4': 16, 'G5': 25, 'G1': 40}",0.6639445332664556,0.31333333333333335,112.5,20,0,20,0
"(6, 6)",checker,True,22000.0,278,22,"{'G3': 18, 'G4': 4}",139,139,"{'G2': 50, 'G3': 6, 'G4': 18, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 6, 'G4': 18, 'G5': 25, 'G1': 40}",0.6597646739187226,0.31166666666666665,137.14285714285714,12,0,12,0
"(6, 6)",checker,True,34000.0,266,34,"{'G3': 18, 'G4': 16}",133,133,"{'G2': 50, 'G3': 6, 'G5': 25, 'G4': 12, 'G1': 40}","{'G2': 50, 'G3': 6, 'G5': 25, 'G4': 12, 'G1': 40}",0.5845272056595295,0.2866666666666667,156.25,12,0,12,0
"(6, 6)",checker,False,21052.151630145145,279,21,"{'G3': 13, 'G4': 8}",145,134,"{'G2': 16, 'G3': 6, 'G4': 16, 'G5': 50, 'G1': 57}","{'G2': 84, 'G3': 11, 'G4': 16, 'G1': 23}",0.6529724024786566,0.3095833333333333,137.14285714285714,17,0,17,0
"(6, 6)",checker,False,25146.57518992236,275,25,"{'G3': 17, 'G4': 8}",167,108,"{'G2': 88, 'G3': 6, 'G4': 16, 'G5': 50, 'G1': 7}","{'G2': 12, 'G3': 7, 'G4': 16, 'G1': 73}",0.6383428947615912,0.3045833333333333,112.5,13,0,13,0
"(6, 6)",checker,False,32248.190460516005,268,32,"{'G3': 16, 'G4': 16}",185,83,"{'G2': 88, 'G3': 6, 'G5': 50, 'G4': 8, 'G1': 33}","{'G2': 12, 'G3': 8, 'G4': 16, 'G1': 47}",0.5918419595180622,0.2891666666666667,156.25,14,0,14,0
"(8, 8)",front_rows,True,20000.0,280,20,"{'G2': 6, 'G3': 14}",140,140,"{'G2': 47, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 47, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}",0.6926157559798113,0.321,112.5,16,0,16,0
"(8, 8)",front_rows,True,28000.0,272,28,"{'G1': 14, 'G3': 14}",136,136,"{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 33}","{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 33}",0.6731402238314681,0.311,112.5,16,0,16,0
"(8, 8)",front_rows,True,36000.0,264,36,"{'G1': 22, 'G3': 14}",132,132,"{'G2': 50, 'G3': 8, 'G5': 25, 'G4': 20, 'G1': 29}","{'G2': 50, 'G3': 8, 'G5': 25, 'G4': 20, 'G1': 29}",0.6580927301796294,0.303,156.25,16,0,16,0
"(8, 8)",front_rows,False,32106.354742572912,268,32,"{'G2': 18, 'G3': 14}",109,159,"{'G2': 18, 'G3': 8, 'G4': 28, 'G5': 42, 'G1': 13}","{'G2': 64, 'G3': 8, 'G4': 12, 'G5': 8, 'G1': 67}",0.6789005924950625,0.313,112.5,16,0,16,0
"(8, 8)",front_rows,False,37090.83587991264,263,37,"{'G1': 23, 'G3': 14}",111,152,"{'G2': 33, 'G3': 8, 'G4': 28, 'G5': 42}","{'G2': 67, 'G3': 8, 'G4': 12, 'G5': 8, 'G1': 57}",0.6562117934731496,0.302,137.14285714285714,16,0,16,0
"(8, 8)",front_rows,False,28041.73099992685,272,28,"{'G1': 14, 'G3': 14}",145,127,"{'G2': 72, 'G3': 8, 'G5': 50, 'G4': 15}","{'G2': 28, 'G3': 8, 'G4': 25, 'G1': 66}",0.6731402238314681,0.311,156.25,16,0,16,0
"(8, 8)",side_rows,True,26000.0,274,26,"{'G2': 12, 'G3': 14}",137,137,"{'G2': 44, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}","{'G2': 44, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 40}",0.6857581742374369,0.317,150.0,16,0,16,0
"(8, 8)",side_rows,True,44000.0,256,44,"{'G1': 30, 'G3': 14}",128,128,"{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 25}","{'G2': 50, 'G3': 8, 'G4': 20, 'G5': 25, 'G1': 25}",0.6430452365277909,0.295,150.0,16,0,16,0
"(8, 8)",side_rows,True,32000.0,268,32,"{'G1': 18, 'G3': 14}",134,134,"{'G2': 50, 'G3': 8, 'G5': 25, 'G4': 20, 'G1': 31}","{'G2': 50, 'G3': 8, 'G5': 25, 'G4': 20, 'G1': 31}",0.6656164770055487,0.307,156.25,16,0,16,0
"(8, 8)",side_rows,False,48139.243861354065,252,48,"{'G2': 34, 'G3': 14}",93,159,"{'G2': 16, 'G3': 8, 'G4': 32, 'G5': 30, 'G1': 7}","{'G2': 50, 'G3': 8, 'G4': 8, 'G5': 20, 'G1': 73}",0.6606137078487309,0.30233333333333334,125.0,16,0,16,0
"(8, 8)",side_rows,False,37157.114998380304,263,37,"{'G1': 23, 'G3': 14}",94,169,"{'G2': 24, 'G3': 8, 'G4': 32, 'G5': 30}","{'G2': 76, 'G3': 8, 'G4': 8, 'G5': 20, 'G1': 57}",0.6562117934731496,0.302,137.14285714285714,16,0,16,0
"(8, 8)",side_rows,False,29015.404273906184,271,29,"{'G1': 15, 'G3': 14}",138,133,"{'G2': 64, 'G3': 8, 'G5': 50, 'G4': 16}","{'G2': 36, 'G3': 8, 'G4': 24, 'G1': 65}",0.6712592871249883,0.31,156.25,16,0,16,0
"(8, 8)",checker,True,14000.0,286,14,"{'G3': 6, 'G4': 8}",143,143,"{'G2': 50, 'G3': 12, 'G4': 16, 'G5': 25, 'G1': 40}","{'G2': 50, 'G3': 12, 'G4': 16, 'G5': 25, 'G1': 40}",0.6785740409835209,0.31833333333333336,150.0,24,0,24,0
